Country/Region,Province/State,Date,Case_Type,Cases,Long,Lat,Difference,Last_Update_Date
Afghanistan,,2020-01-22,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-01-23,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-01-24,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-01-25,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-01-26,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-01-27,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-01-28,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-01-29,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-01-30,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-01-31,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-01,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-02,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-03,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-04,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-05,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-06,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-07,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-08,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-09,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-10,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-11,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-12,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-13,Confirmed,0,65,33,0,2020-03-12 19:45:18
Afghanistan,,2020-02-14,Confirmed,0,65,33,0,2020-03-12 19:45:18
