country_region,confirmed_total,deaths_total,recovered_total,death_rate,recovery_rate
Afghanistan,24.0,0.0,1.0,0.0,4.166666666666666
Albania,76.0,2.0,2.0,2.631578947368421,2.631578947368421
Algeria,139.0,15.0,32.0,10.79136690647482,23.021582733812952
Andorra,88.0,0.0,1.0,0.0,1.1363636363636365
Angola,2.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1.0,0.0,0.0,0.0,0.0
Argentina,158.0,4.0,3.0,2.5316455696202533,1.89873417721519
Armenia,160.0,0.0,1.0,0.0,0.625
Australia,1071.0,7.0,26.0,0.6535947712418301,2.427637721755369
Austria,2814.0,8.0,9.0,0.28429282160625446,0.31982942430703626
Azerbaijan,53.0,1.0,11.0,1.8867924528301887,20.754716981132077
"Bahamas, The",4.0,0.0,0.0,0.0,0.0
Bahrain,305.0,1.0,125.0,0.32786885245901637,40.98360655737705
Bangladesh,25.0,2.0,3.0,8.0,12.0
Barbados,6.0,0.0,0.0,0.0,0.0
Belarus,76.0,0.0,15.0,0.0,19.736842105263158
Belgium,2815.0,67.0,263.0,2.380106571936057,9.342806394316163
Benin,2.0,0.0,0.0,0.0,0.0
Bhutan,2.0,0.0,0.0,0.0,0.0
Bolivia,19.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,93.0,1.0,2.0,1.0752688172043012,2.1505376344086025
Brazil,1021.0,15.0,2.0,1.4691478942213516,0.1958863858961802
Brunei,83.0,0.0,2.0,0.0,2.4096385542168677
Bulgaria,163.0,3.0,3.0,1.8404907975460123,1.8404907975460123
Burkina Faso,64.0,2.0,5.0,3.125,7.8125
Cabo Verde,3.0,0.0,0.0,0.0,0.0
Cambodia,53.0,0.0,1.0,0.0,1.8867924528301887
Cameroon,27.0,0.0,0.0,0.0,0.0
Canada,1278.0,19.0,10.0,1.486697965571205,0.7824726134585289
Cape Verde,1.0,0.0,0.0,0.0,0.0
Central African Republic,3.0,0.0,0.0,0.0,0.0
Chad,1.0,0.0,0.0,0.0,0.0
Chile,537.0,0.0,6.0,0.0,1.1173184357541899
China,81305.0,3259.0,71857.0,4.008363569276182,88.37955845273969
Colombia,196.0,0.0,1.0,0.0,0.5102040816326531
Congo (Brazzaville),3.0,0.0,0.0,0.0,0.0
Congo (Kinshasa),23.0,1.0,0.0,4.3478260869565215,0.0
Costa Rica,117.0,2.0,2.0,1.7094017094017095,1.7094017094017095
Cote d'Ivoire,14.0,0.0,1.0,0.0,7.142857142857142
Croatia,206.0,1.0,5.0,0.48543689320388345,2.4271844660194173
Cruise Ship,712.0,8.0,325.0,1.1235955056179776,45.646067415730336
Cuba,21.0,1.0,0.0,4.761904761904762,0.0
Cyprus,84.0,0.0,0.0,0.0,0.0
Czechia,995.0,0.0,6.0,0.0,0.6030150753768844
Denmark,1420.0,13.0,1.0,0.9154929577464789,0.07042253521126761
Djibouti,1.0,0.0,0.0,0.0,0.0
Dominican Republic,112.0,2.0,0.0,1.7857142857142856,0.0
East Timor,1.0,0.0,0.0,0.0,0.0
Ecuador,506.0,7.0,3.0,1.383399209486166,0.592885375494071
Egypt,294.0,10.0,41.0,3.4013605442176873,13.945578231292515
El Salvador,3.0,0.0,0.0,0.0,0.0
Equatorial Guinea,6.0,0.0,0.0,0.0,0.0
Eritrea,1.0,0.0,0.0,0.0,0.0
Estonia,306.0,0.0,1.0,0.0,0.32679738562091504
Eswatini,1.0,0.0,0.0,0.0,0.0
Ethiopia,9.0,0.0,0.0,0.0,0.0
Fiji,1.0,0.0,0.0,0.0,0.0
Finland,523.0,1.0,10.0,0.19120458891013384,1.9120458891013385
France,14308.0,562.0,12.0,3.9278725188705623,0.08386916410399776
French Guiana,18.0,0.0,6.0,0.0,33.33333333333333
Gabon,4.0,1.0,0.0,25.0,0.0
"Gambia, The",1.0,0.0,0.0,0.0,0.0
Georgia,49.0,0.0,1.0,0.0,2.0408163265306123
Germany,22213.0,84.0,233.0,0.3781569351280782,1.0489353081528834
Ghana,19.0,1.0,0.0,5.263157894736842,0.0
Greece,530.0,13.0,19.0,2.4528301886792456,3.5849056603773586
Greenland,0.0,0.0,0.0,,
Guadeloupe,53.0,0.0,0.0,0.0,0.0
Guam,0.0,0.0,0.0,,
Guatemala,17.0,1.0,0.0,5.88235294117647,0.0
Guernsey,0.0,0.0,0.0,,
Guinea,2.0,0.0,0.0,0.0,0.0
Guyana,7.0,1.0,0.0,14.285714285714285,0.0
Haiti,2.0,0.0,0.0,0.0,0.0
Holy See,1.0,0.0,0.0,0.0,0.0
Honduras,24.0,0.0,0.0,0.0,0.0
Hungary,103.0,4.0,7.0,3.8834951456310676,6.796116504854369
Iceland,473.0,1.0,22.0,0.21141649048625794,4.651162790697675
India,330.0,4.0,23.0,1.2121212121212122,6.969696969696971
Indonesia,450.0,38.0,15.0,8.444444444444445,3.3333333333333335
Iran,20610.0,1556.0,7635.0,7.54973313925279,37.04512372634643
Iraq,214.0,17.0,51.0,7.943925233644859,23.83177570093458
Ireland,785.0,3.0,5.0,0.3821656050955414,0.6369426751592357
Israel,883.0,1.0,36.0,0.11325028312570783,4.077010192525481
Italy,53578.0,4825.0,6072.0,9.00556198439658,11.333009817462392
Jamaica,16.0,1.0,2.0,6.25,12.5
Japan,1007.0,35.0,232.0,3.475670307845084,23.038728897715988
Jersey,0.0,0.0,0.0,,
Jordan,85.0,0.0,1.0,0.0,1.1764705882352942
Kazakhstan,53.0,0.0,0.0,0.0,0.0
Kenya,7.0,0.0,0.0,0.0,0.0
