,province_state,country_region,lat,long,filename,cloud_resource
0,,Thailand,15.0,101.0,thailand,https://thecodinginterface-covid.s3.amazonaws.com/thailand.json
1,,Japan,36.0,138.0,japan,https://thecodinginterface-covid.s3.amazonaws.com/japan.json
2,,Singapore,1.2833,103.8333,singapore,https://thecodinginterface-covid.s3.amazonaws.com/singapore.json
3,,Nepal,28.1667,84.25,nepal,https://thecodinginterface-covid.s3.amazonaws.com/nepal.json
4,,Malaysia,2.5,112.5,malaysia,https://thecodinginterface-covid.s3.amazonaws.com/malaysia.json
5,British Columbia,Canada,49.2827,-123.1207,canada-british-columbia,https://thecodinginterface-covid.s3.amazonaws.com/canada-british-columbia.json
6,New South Wales,Australia,-33.8688,151.2093,australia-new-south-wales,https://thecodinginterface-covid.s3.amazonaws.com/australia-new-south-wales.json
7,Victoria,Australia,-37.8136,144.9631,australia-victoria,https://thecodinginterface-covid.s3.amazonaws.com/australia-new-south-wales.json
8,Queensland,Australia,-28.0167,153.4,australia-queensland,https://thecodinginterface-covid.s3.amazonaws.com/australia-new-south-wales.json
9,,Cambodia,11.55,104.9167,cambodia,https://thecodinginterface-covid.s3.amazonaws.com/cambodia.json
10,,Sri Lanka,7.0,81.0,sri-lanka,https://thecodinginterface-covid.s3.amazonaws.com/sri-lanka.json
11,,Germany,51.0,9.0,germany,https://thecodinginterface-covid.s3.amazonaws.com/germany.json
12,,Finland,64.0,26.0,finland,https://thecodinginterface-covid.s3.amazonaws.com/finland.json
13,,United Arab Emirates,24.0,54.0,united-arab-emirates,https://thecodinginterface-covid.s3.amazonaws.com/united-arab-emirates.json
14,,Philippines,13.0,122.0,philippines,https://thecodinginterface-covid.s3.amazonaws.com/philippines.json
15,,India,21.0,78.0,india,https://thecodinginterface-covid.s3.amazonaws.com/india.json
16,,Italy,43.0,12.0,italy,https://thecodinginterface-covid.s3.amazonaws.com/italy.json
17,,Sweden,63.0,16.0,sweden,https://thecodinginterface-covid.s3.amazonaws.com/sweden.json
18,,Spain,40.0,-4.0,spain,https://thecodinginterface-covid.s3.amazonaws.com/spain.json
19,South Australia,Australia,-34.9285,138.6007,australia-south-australia,https://thecodinginterface-covid.s3.amazonaws.com/australia-new-south-wales.json
20,,Belgium,50.8333,4.0,belgium,https://thecodinginterface-covid.s3.amazonaws.com/belgium.json
21,,Egypt,26.0,30.0,egypt,https://thecodinginterface-covid.s3.amazonaws.com/egypt.json
22,From Diamond Princess,Australia,35.4437,139.638,australia-from-diamond-princess,https://thecodinginterface-covid.s3.amazonaws.com/australia-new-south-wales.json
