country_region,population,population_density,land_area,world_share
China,1439323776,153,9388211,18.47
India,1380004385,464,2973190,17.7
US,331002651,36,9147420,4.25
Indonesia,273523615,151,1811570,3.51
Pakistan,220892340,287,770880,2.83
Brazil,212559417,25,8358140,2.73
Nigeria,206139589,226,910770,2.64
Bangladesh,164689383,"1,265",130170,2.11
Russia,145934462,9,16376870,1.87
Mexico,128932753,66,1943950,1.65
Japan,126476461,347,364555,1.62
Ethiopia,114963588,115,1000000,1.47
Philippines,109581078,368,298170,1.41
Egypt,102334404,103,995450,1.31
Vietnam,97338579,314,310070,1.25
DR Congo,89561403,40,2267050,1.15
Turkey,84339067,110,769630,1.08
Iran,83992949,52,1628550,1.08
Germany,83783942,240,348560,1.07
Thailand,69799978,137,510890,0.9
United Kingdom,67886011,281,241930,0.87
France,65273511,119,547557,0.84
Italy,60461826,206,294140,0.78
Tanzania,59734218,67,885800,0.77
South Africa,59308690,49,1213090,0.76
Myanmar,54409800,83,653290,0.7
Kenya,53771296,94,569140,0.69
"Korea, South",51269185,527,97230,0.66
Colombia,50882891,46,1109500,0.65
Spain,46754778,94,498800,0.6
Uganda,45741007,229,199810,0.59
Argentina,45195774,17,2736690,0.58
Algeria,43851044,18,2381740,0.56
Sudan,43849260,25,1765048,0.56
Ukraine,43733762,75,579320,0.56
Iraq,40222493,93,434320,0.52
Afghanistan,38928346,60,652860,0.5
Poland,37846611,124,306230,0.49
Canada,37742154,4,9093510,0.48
Morocco,36910560,83,446300,0.47
Saudi Arabia,34813871,16,2149690,0.45
Uzbekistan,33469203,79,425400,0.43
Peru,32971854,26,1280000,0.42
Angola,32866272,26,1246700,0.42
Malaysia,32365999,99,328550,0.42
Mozambique,31255435,40,786380,0.4
Ghana,31072940,137,227540,0.4
Yemen,29825964,56,527970,0.38
Nepal,29136808,203,143350,0.37
Venezuela,28435940,32,882050,0.36
Madagascar,27691018,48,581795,0.36
Cameroon,26545863,56,472710,0.34
Côte d'Ivoire,26378274,83,318000,0.34
North Korea,25778816,214,120410,0.33
Australia,25499884,3,7682300,0.33
Niger,24206644,19,1266700,0.31
Taiwan,23816775,673,35410,0.31
Sri Lanka,21413249,341,62710,0.27
Burkina Faso,20903273,76,273600,0.27
Mali,20250833,17,1220190,0.26
Romania,19237691,84,230170,0.25
Malawi,19129952,203,94280,0.25
Chile,19116201,26,743532,0.25
Kazakhstan,18776707,7,2699700,0.24
Zambia,18383955,25,743390,0.24
Guatemala,17915568,167,107160,0.23
